instrument,ID,x0,y0,raft,sensor,hyeyun_orientation,orientation,orientation_2
E2V,R13_S12,-527.2279702305739,-638.6818153169431,R13,S12,1,2,
E2V,R13_S00,4490.873039344917,4419.25752493703,R13,S00,3,3,
E2V,R13_S01,-384.14406044517654,-607.8676679759548,R13,S01,1,2,
E2V,R13_S02,-439.62417214691936,-659.6518556207972,R13,S02,1,2,
E2V,R13_S21,4485.040794827626,-628.8198175111224,R13,S21,4,1,
E2V,R13_S22,4753.215161703486,-631.3026793908613,R13,S22,4,1,
E2V,R13_S10,4605.681525626251,-603.9640155541825,R13,S10,4,1,
E2V,R13_S11,4582.034216371869,-582.3484299184425,R13,S11,4,1,
E2V,R13_S20,4489.1290345455645,-609.063032179829,R13,S20,4,1,
E2V,R11_S12,-511.01142054901334,-616.1050082562225,R11,S12,1,-1,
E2V,R11_S00,4477.023135714811,4442.3069001005115,R11,S00,3,3,
E2V,R11_S01,-628.7625858865786,-654.7866968550782,R11,S01,1,2,
E2V,R11_S02,4400.429964878259,-261.7744131257982,R11,S02,4,-1,
E2V,R11_S21,4632.140253401977,-656.071699148886,R11,S21,4,1,
E2V,R11_S22,-381.6598436616095,-455.40156372064973,R11,S22,1,-1,
E2V,R11_S10,-547.9463449024677,-688.2791814163752,R11,S10,1,-1,
E2V,R11_S11,4616.71165034853,-686.916514101003,R11,S11,4,-1,
E2V,R11_S20,-487.45633111810383,-658.6265242437742,R11,S20,1,2,
ITL,R41_S12,-477.42772231769044,-742.0401236195156,R41,S12,1,3,
ITL,R41_S00,4433.344961853176,4367.535326978164,R41,S00,3,2,
ITL,R41_S01,-158.2346350289581,-243.54192418095442,R41,S01,1,2,
ITL,R41_S02,4362.151610756357,-164.44401252025727,R41,S02,4,-1,
ITL,R41_S21,-257.707627246034,-228.68679782151207,R41,S21,1,2,
ITL,R41_S22,4253.753775418925,-313.008153703692,R41,S22,4,1,
ITL,R41_S10,-105.9418991810395,-129.25240866122522,R41,S10,1,2,
ITL,R41_S11,4250.4987836392675,4109.383209174697,R41,S11,3,3,
ITL,R41_S20,-278.4607512190253,-367.0638724169536,R41,S20,1,2,
ITL,R43_S12,-81.81591516870344,4262.695678850547,R43,S12,2,4,
ITL,R43_S00,-96.7156003704655,4294.899597355996,R43,S00,2,4,
ITL,R43_S01,-68.95361291689846,-152.35635710092197,R43,S01,1,2,
ITL,R43_S02,-276.19341957017946,4128.035714198706,R43,S02,2,4,
ITL,R43_S21,4346.058257002838,4242.726402588594,R43,S21,3,3,
ITL,R43_S22,4337.541518880427,4248.667774061975,R43,S22,3,4,
ITL,R43_S10,-238.6235558214961,-313.01551469831867,R43,S10,1,2,
ITL,R43_S11,4281.254155850924,-293.4567828784555,R43,S11,4,1,
ITL,R43_S20,-199.33795799210634,-310.3974030538009,R43,S20,1,2,
ITL,R10_S12,-262.4434006682169,4081.958268448112,R10,S12,2,4,
ITL,R10_S00,4422.740253315237,4370.302954782531,R10,S00,3,3,
ITL,R10_S01,4212.970951208419,-356.09387224703187,R10,S01,4,1,
ITL,R10_S02,-161.29290061471306,4127.225180460726,R10,S02,2,-1,
ITL,R10_S21,4279.198913336252,-242.93481039520918,R10,S21,4,1,
ITL,R10_S22,4180.6774700103615,-414.3796600777877,R10,S22,4,1,
ITL,R10_S10,4405.585905906841,-360.6153142237343,R10,S10,4,1,
ITL,R10_S11,4169.120273435287,-252.327733368198,R10,S11,4,1,
ITL,R10_S20,4293.336613803709,4262.0913155182025,R10,S20,3,3,
E2V,R22_S12,-371.1442319797063,4411.047737357079,R22,S12,2,4,
E2V,R22_S00,-383.0249580214284,-608.7848299764188,R22,S00,1,2,
E2V,R22_S01,-445.50756830925434,-559.7844647731922,R22,S01,1,-1,
E2V,R22_S02,-411.0770878870042,4446.940668978629,R22,S02,2,4,
E2V,R22_S21,-471.7540297680788,-574.1557168966654,R22,S21,1,2,
E2V,R22_S22,4587.104612901858,-461.31458908835157,R22,S22,4,-1,
E2V,R22_S10,4491.693800870816,-649.3737671181211,R22,S10,4,1,
E2V,R22_S11,4658.717879096594,-667.6449043070537,R22,S11,4,1,
E2V,R22_S20,4594.451934971142,-428.61888588441025,R22,S20,4,-1,
